date,spy_equity_$,spy_drawdown_%,strategy_equity_$,strategy_drawdown_%
2023-01-11,10000.0,0.0,10090.0,0.0
2023-01-12,10040.215494347069,0.0,10090.0,0.0
2023-01-13,10078.660495232314,0.0,10090.0,0.0
2023-01-17,10063.231909350734,-0.1530817104999027,10090.0,0.0
2023-01-18,9902.117004325062,-1.7516562939168925,10180.0,0.0
2023-01-19,9845.461213546803,-2.3137924111624297,10210.0,0.0
2023-01-20,10003.54098692364,-0.7453322625978753,10210.0,0.0
2023-01-23,10122.669904140426,0.0,10210.0,0.0
2023-01-24,10130.00480562511,0.0,10210.0,0.0
2023-01-25,10123.681614690036,-0.0624204139721973,10248.0,0.0
2023-01-26,10232.946354048108,0.0,10428.0,0.0
2023-01-27,10262.285959986848,0.0,10428.0,0.0
2023-01-30,10140.627766396034,-1.1854882437028702,10428.0,0.0
2023-01-31,10274.173558944784,0.0,10428.0,0.0
2023-02-01,10378.885600829602,0.0,10428.0,0.0
2023-02-02,10537.97708475605,0.0,10428.0,0.0
2023-02-03,10427.953562485773,-1.0440668202764902,10608.0,0.0
2023-02-06,10372.309482257126,-1.57210061443932,10608.0,0.0
2023-02-07,10490.4266889243,-0.4512288786482243,10853.0,0.0
2023-02-08,10387.738068138706,-1.425691244239624,10853.0,0.0
2023-02-09,10297.442901585857,-2.2825460829492994,11075.0,0.0
2023-02-10,10318.941750765103,-2.0785330261136714,11075.0,0.0
2023-02-13,10441.864582542934,-0.9120583717357912,11075.0,0.0
2023-02-14,10435.794319245264,-0.969662058371723,11075.0,0.0
2023-02-15,10467.157346283228,-0.6720430107526876,11231.0,0.0
2023-02-16,10321.723954776537,-2.0521313364055382,11231.0,0.0
2023-02-17,10296.93704631105,-2.287346390168965,11246.0,0.0
2023-02-21,10101.929837873384,-4.137864823348691,11151.0,-0.8447447981504541
2023-02-22,10081.442699243746,-4.33227726574501,11151.0,-0.8447447981504541
2023-02-23,10133.798720186156,-3.835445468509968,10887.0,-3.192246131958032
2023-02-24,10020.487138629638,-4.910714285714279,10935.0,-2.7654277076293754
2023-02-27,10063.61130080684,-4.501488095238093,10641.0,-5.379690556642358
2023-02-28,10013.405164782356,-4.977918586789542,10641.0,-5.379690556642358
2023-03-01,9982.8009206566,-5.268337173579097,10641.0,-5.379690556642358
2023-03-02,10061.714343526315,-4.519489247311825,10641.0,-5.379690556642358
2023-03-03,10216.506057616916,-3.0505952380952217,10773.0,-4.205939889738575
2023-03-06,10231.175860586289,-2.9113863287250186,10869.0,-3.3523030410812726
2023-03-07,10079.16635050712,-4.353878648233489,11049.0,-1.7517339498488327
2023-03-08,10088.018817816224,-4.269873271889391,11157.0,-0.7913924951093776
2023-03-09,9910.210688721956,-5.957181259600608,10959.0,-2.552018495465058
2023-03-10,9762.50094847864,-7.358870967741926,10983.0,-2.33860928330073
2023-03-13,9750.3604218833,-7.474078341013824,10983.0,-2.33860928330073
2023-03-14,9905.152135973898,-6.00518433179722,10983.0,-2.33860928330073
2023-03-15,9850.26683865746,-6.526017665130556,10983.0,-2.33860928330073
2023-03-16,10010.875888408324,-5.001920122887871,10983.0,-2.33860928330073
