month,pnl,equity,return_pct
2023-01-31,265.99999999999994,10266.0,0.026599999999999957
2023-02-28,488.00000000000006,10754.0,0.04753555425676992
2023-03-31,776.0,11530.0,0.0721591965780175
2023-04-30,-327.00000000000017,11203.0,-0.028360797918473568
2023-05-31,347.99999999999994,11551.0,0.031063108096045733
2023-06-30,237.00000000000006,11788.0,0.020517704094883626
2023-07-31,293.9999999999999,12082.0,0.02494061757719712
2023-08-31,-315.99999999999983,11766.0,-0.0261546101638801
2023-09-30,222.00000000000003,11988.0,0.018867924528301883
2023-10-31,449.0000000000001,12437.0,0.03745412078745414
2023-11-30,252.00000000000003,12689.0,0.020262121090295127
2023-12-31,-54.0,12635.0,-0.004255654503900974
2024-01-31,-126.00000000000006,12509.0,-0.009972299168975018
2024-02-29,-406.0,12103.0,-0.032456631225517674
2024-03-31,416.00000000000006,12519.0,0.03437164339419985
2024-04-30,-330.9999999999999,12188.0,-0.02643981148654051
2024-05-31,-392.0,11796.0,-0.032162783065310174
2024-06-30,202.99999999999991,11999.0,0.017209223465581625
2024-07-31,553.0,12552.0,0.04608717393116102
2024-08-31,-147.0000000000001,12405.0,-0.011711281070745705
2024-09-30,558.0000000000001,12963.0,0.04498186215235789
2024-10-31,327.99999999999994,13291.0,0.025302784849186244
2024-11-30,-12.999999999999943,13278.0,-0.0009781054849146154
2024-12-31,-795.0,12483.0,-0.059873474920921876
2025-01-31,-358.99999999999994,12124.0,-0.028759112392854336
2025-02-28,1905.0,14029.0,0.1571263609369844
2025-03-31,-99.99999999999989,13929.0,-0.007128091809822545
2025-04-30,-1131.0000000000005,12798.0,-0.0811975016153349
2025-05-31,-422.0000000000002,12376.0,-0.03297390217221441
2025-06-30,1023.0000000000001,13399.0,0.0826599870717517
2025-07-31,214.00000000000003,13613.0,0.01597134114486165
2025-08-31,1047.0,14660.0,0.07691177550870498
2025-09-30,-328.00000000000017,14332.0,-0.022373806275579833
2025-10-31,486.0000000000001,14818.0,0.033910131174992975
2025-11-30,977.9999999999998,15796.0,0.06600080982588752
2025-12-31,1405.0,17201.0,0.08894656875158269
2026-01-31,567.0,17768.0,0.03296319981396434
2026-02-28,1421.0,19189.0,0.07997523638000903
2026-03-31,1688.0,20877.0,0.08796706446401581
2026-04-30,194.00000000000023,21071.0,0.009292522872060172
2026-05-31,519.0000000000001,21590.0,0.024631009444259888
2026-06-30,2359.0,23949.0,0.10926354793886062
2026-07-31,-34.000000000000455,23915.0,-0.0014196834940916059
2026-08-31,-1085.0000000000005,22830.0,-0.04536901526238757
